number,eventtypeclean,noaatype,
1,   high surf advisory,high surf,
3, flash flood,flash flood,
5, thunderstorm wind,thunderstorm wind,
6, thunderstorm wind (g45),thunderstorm wind,
13,agricultural freeze,frost/freeze,
14,astronomical high tide,high surf,
15,astronomical low tide,astronomical low tide,
16,avalanche,avalanche,
17,beach erosion,other,
20,black ice,other,
21,blizzard,blizzard,
25,blowing dust,dust storm,
26,blowing snow,blizzard,
27,brush fire,wildfire,
28,coastal  flooding/erosion,coastal flood,
29,coastal erosion,other,
30,coastal flood,coastal flood,
31,coastal flooding,coastal flood,
32,coastal flooding/erosion,coastal flood,
33,coastal storm,other,
35,coastalstorm,other,
36,cold,cold/windchill,
38,cold and snow,cold/windchill,
39,cold temperature,cold/windchill,
41,cold weather,cold/windchill,
43,cold/wind chill,cold/windchill,
46,dam break,flash flood,
47,damaging freeze,frost/freeze,
48,dense fog,dense fog,
49,dense smoke,dense smoke,
50,downburst,thunderstorm wind,
53,drought,drought,
54,drowning,other,
57,dry microburst,thunderstorm wind,
62,dust devil,dust devil,
63,dust storm,dust storm,
64,early frost,frost/freeze,
67,erosion/cstl flood,coastal flood,
69,excessive heat,excessive heat,
73,excessive snow,heavy snow,
75,extended cold,extreme cold/wind chill,
76,extreme cold,extreme cold/wind chill,
77,extreme cold/wind chill,extreme cold/wind chill,
79,extreme windchill,extreme cold/wind chill,
82,falling snow/ice,ice storm,
85,flash flood,flash flood,
86,flash flood/flood,flash flood,
88,flood,flood,
90,flood/flash/flood,flash flood,
92,fog,dense fog,
93,freeze,frost/freeze,
94,freezing drizzle,winter weather,
95,freezing fog,freezing fog,
96,freezing rain,winter weather,
98,freezing spray,other,
99,frost,frost/freeze,
100,frost/freeze,frost/freeze,
101,funnel cloud,funnel cloud,
103,glaze,freezing fog,
104,gradient wind,tropical depression,
108,gusty wind,high wind,
109,gusty wind/hail,hail,
110,gusty wind/hvy rain,heavy rain,
111,gusty wind/rain,high wind,
112,gusty winds,high wind,
113,hail,hail,
116,hard freeze,frost/freeze,
117,hazardous surf,high surf,
118,heat,heat,
119,heat wave,heat,
122,heavy rain,heavy rain,
125,heavy rain/high surf,heavy rain,
128,heavy seas,high surf,
129,heavy snow,heavy snow,
130,heavy snow shower,heavy snow,
132,heavy surf,high surf,
133,heavy surf and wind,high surf,
134,heavy surf/high surf,high surf,
136,high seas,high surf,
137,high surf,high surf,
140,high swells,high surf,
141,high water,flash flood,
142,high wind,high wind,
143,high wind (g40),high wind,
144,high winds,high wind,
148,hurricane,hurricane (typhoon),
149,hurricane edouard,hurricane (typhoon),
150,hurricane/typhoon,hurricane (typhoon),
151,hyperthermia/exposure,extreme cold/wind chill,
152,hypothermia/exposure,extreme cold/wind chill,
156,ice jam flood (minor,flash flood,
157,ice on road,winter weather,
159,ice roads,winter weather,
160,ice storm,ice storm,
163,icy roads,winter weather,
165,lake effect snow,lake-effect snow,
164,lake-effect snow,lake-effect snow,
166,lakeshore flood,lakeshore flood,
167,landslide,debris flow,
168,landslides,debris flow,
169,landslump,debris flow,
170,landspout,dust devil,
174,late season snow,winter weather,
177,light freezing rain,winter weather,
178,light snow,winter weather,
181,light snowfall,winter weather,
182,lightning,lightning,
184,marine accident,other,
185,marine hail,marine hail,
186,marine high wind,marine high wind,
187,marine strong wind,marine strong wind,
188,marine thunderstorm wind,marine thunderstorm wind,
190,microburst,thunderstorm wind,
193,mixed precip,winter weather,
194,mixed precipitation,winter weather,
202,mud slide,debris flow,
203,mudslide,debris flow,
205,mudslides,debris flow,
210,non thunderstorm wind,high wind,
207,non-severe wind damage,high wind,
208,non-thunderstorm wind,high wind,
213,other,other,
219,rain,heavy rain,
222,rain/snow,winter weather,
228,record heat,excessive heat,
245,rip current,rip current,
246,rip currents,rip current,
247,river flood,flood,
248,river flooding,flood,
249,rock slide,debris flow,
250,rogue wave,tsunami,
251,rough seas,high surf,
252,rough surf,high surf,
255,seiche,seiche,
261,small hail,hail,
264,snow,winter weather,
267,snow and ice,winter storm,
271,snow squall,blizzard,
272,snow squalls,blizzard,
278,storm surge,storm surge/tide,
279,storm surge/tide,storm surge/tide,
281,strong wind,high wind,
283,strong winds,high wind,
352,thunderstorm,thunderstorm wind,
354,thunderstorm wind,thunderstorm wind,
355,thunderstorm wind  (g45),thunderstorm wind,
356,thunderstorm wind (41),thunderstorm wind,
357,thunderstorm wind (g35),thunderstorm wind,
358,thunderstorm wind (g40),thunderstorm wind,
359,thunderstorm wind (g45),thunderstorm wind,
360,thunderstorm wind 40,thunderstorm wind,
361,thunderstorm wind 45,thunderstorm wind,
362,thunderstorm wind and lightning,thunderstorm wind,
363,thunderstorm wind g45,thunderstorm wind,
364,thunderstorm wind/hail,thunderstorm wind,
368,tidal flooding,coastal flood,
369,tornado,tornado,
371,torrential rainfall,heavy rain,
372,tropical depression,tropical depression,
373,tropical storm,tropical storm,
374,tsunami,tsunami,
375,typhoon,hurricane (typhoon),
376,unseasonable cold,extreme cold/wind chill,
377,unseasonably cold,extreme cold/wind chill,
382,unseasonably warm,excessive heat,
389,unseasonal rain,heavy rain,
398,urban/sml stream fld,flood,
404,volcanic ash,volcanic ash,
410,warm weather,heat,
411,waterspout,waterspout,
414,wet microburst,thunderstorm wind,
417,whirlwind,tornado,
418,wild/forest fire,wildfire,
419,wildfire,wildfire,
420,wind,high wind,
422,wind and wave,other,
424,wind damage,high wind,
426,winds,high wind,
428,winter storm,winter storm,
429,winter weather,winter weather,
430,winter weather mix,winter weather,
431,winter weather/mix,winter weather,
433,wintry mix,winter weather,
